194745,326792,326792,326792,326792,326792,326792,326792,326792,326792
189827,189827,189827,470663,470663,189827,189827,72820,15141,189827
326792,217996,364234,194745,9514,170124,470663,217996,185951,217996
9514,72820,470663,217996,72820,217996,178122,185951,189827,15141
217996,470663,217996,189827,189827,364234,554755,9514,364234,72820
287510,178122,194745,9514,217996,72820,194745,295024,130663,287510
309068,185951,148099,185951,15141,9514,170124,287510,540230,198251
364234,561483,15141,72820,185951,261912,533785,189827,198251,364234
470663,9514,198251,15141,194745,148099,540230,561483,561483,9514
469852,191687,469873,517331,199293,191687,191687,148099,554755,261912
148099,533785,9514,261912,295024,194745,9514,15141,72820,13823
170124,469873,130663,13823,287510,533785,New.0.ReferenceOTU576,194745,217996,470663
72820,15141,13823,361809,554755,175682,312461,364234,194745,148099
295024,554755,540230,287510,561483,561636,517331,470663,469873,561636
469873,316587,469852,561483,148099,312461,470139,199293,199293,561483
212619,540230,72820,469852,561636,470663,309068,309068,292424,194745
261912,309068,554755,170124,533785,178146,292424,540230,470663,469873
108747,108747,305760,148099,108747,561483,561483,469873,9514,130663
307981,212619,212619,309068,307981,287510,217996,130663,261912,323257
554755,292424,292424,48207,469873,13823,469852,533785,268604,175682
198251,148099,199293,307981,471308,108747,72820,108747,533785,469852
130663,307981,561636,108747,178122,469873,305760,361809,312461,185951
13823,305760,561483,471308,145149,186029,361809,554755,148099,259422
305760,261912,268604,561636,469852,130663,185951,145149,191687,533785